,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Lebu,CL,-37.6167,-73.65,55.27,82.0,0.0,2.13, 03/14/2021
1,Ushuaia,AR,-54.8,-68.3,37.4,87.0,40.0,9.22, 03/14/2021
3,Atuona,PF,-9.8,-139.0333,79.05,67.0,44.0,8.19, 03/14/2021
4,Rikitea,PF,-23.1203,-134.9692,79.77,77.0,80.0,12.55, 03/14/2021
5,Marawi,PH,7.9986,124.2928,82.0,84.0,95.0,5.01, 03/14/2021
7,Port Alfred,ZA,-33.5906,26.891,75.0,81.0,15.0,5.99, 03/14/2021
8,Punta Arenas,CL,-53.15,-70.9167,39.2,75.0,75.0,3.44, 03/14/2021
10,Asau,RO,46.4333,26.4,51.01,41.0,100.0,6.87, 03/14/2021
11,Lavrentiya,RU,65.5833,-171.0,12.65,95.0,100.0,12.73, 03/14/2021
12,Baruun-Urt,MN,46.6806,113.2792,57.97,31.0,100.0,26.28, 03/14/2021
13,Naze,JP,28.3667,129.4833,66.2,55.0,40.0,10.36, 03/14/2021
15,Vaini,TO,-21.2,-175.2,75.2,94.0,40.0,4.61, 03/14/2021
16,East London,ZA,-33.0153,27.9116,78.8,57.0,0.0,13.8, 03/14/2021
20,Oranjemund,NA,-28.55,16.4333,70.97,63.0,49.0,14.74, 03/14/2021
22,Busselton,AU,-33.65,115.3333,75.99,41.0,0.0,5.99, 03/14/2021
23,Kattivakkam,IN,13.2167,80.3167,93.2,24.0,0.0,10.36, 03/14/2021
24,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,69.01,67.0,42.0,4.52, 03/14/2021
25,Narsaq,GL,60.9167,-46.05,37.4,38.0,90.0,18.41, 03/14/2021
