,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Labuhan,ID,-6.8844,112.2051,77.92,84.0,4.0,3.69, 03/15/2021
2,Neuquen,AR,-38.9516,-68.0591,89.6,31.0,20.0,3.44, 03/15/2021
4,Faya,SA,18.3851,42.4509,66.2,67.0,0.0,3.44, 03/15/2021
6,Hithadhoo,MV,-0.6,73.0833,83.48,64.0,91.0,6.62, 03/15/2021
7,Avarua,CK,-21.2078,-159.775,78.8,94.0,20.0,8.05, 03/15/2021
9,Bluff,NZ,-46.6,168.3333,48.0,91.0,88.0,7.0, 03/15/2021
11,Keetmanshoop,NA,-26.5833,18.1333,77.0,29.0,28.0,13.8, 03/15/2021
12,Bubaque,GW,11.2833,-15.8333,79.14,62.0,17.0,19.46, 03/15/2021
13,Haines Junction,CA,60.7522,-137.5108,12.2,57.0,100.0,1.14, 03/15/2021
14,Khatanga,RU,71.9667,102.5,-23.04,87.0,100.0,9.46, 03/15/2021
15,Luziania,BR,-16.2525,-47.9503,72.0,88.0,90.0,8.05, 03/15/2021
18,Kapaa,US,22.0752,-159.319,73.4,83.0,40.0,9.22, 03/15/2021
20,Omboue,GA,-1.5746,9.2618,75.27,91.0,100.0,5.57, 03/15/2021
22,Coahuayana,MX,18.7333,-103.6833,84.2,30.0,1.0,6.91, 03/15/2021
23,Porto Walter,BR,-8.2686,-72.7439,89.6,49.0,69.0,3.09, 03/15/2021
24,Punta Arenas,CL,-53.15,-70.9167,48.2,49.0,20.0,31.07, 03/15/2021
25,Avera,US,33.194,-82.5271,71.6,40.0,90.0,14.97, 03/15/2021
26,Mataura,NZ,-46.1927,168.8643,48.0,91.0,39.0,7.0, 03/15/2021
27,Saskylakh,RU,71.9167,114.0833,-24.11,84.0,92.0,4.65, 03/15/2021
28,Atuona,PF,-9.8,-139.0333,79.92,69.0,46.0,11.95, 03/15/2021
29,Urengoy,RU,65.9667,78.3667,6.64,95.0,92.0,8.16, 03/15/2021
30,Buraydah,SA,26.326,43.975,78.8,36.0,40.0,6.91, 03/15/2021
31,Dikson,RU,73.5069,80.5464,-26.97,87.0,85.0,7.49, 03/15/2021
32,Mar Del Plata,AR,-38.0023,-57.5575,78.8,57.0,0.0,9.22, 03/15/2021
34,Port Hardy,CA,50.6996,-127.4199,41.0,75.0,20.0,5.75, 03/15/2021
35,Rikitea,PF,-23.1203,-134.9692,80.76,71.0,5.0,1.86, 03/15/2021
36,Talnakh,RU,69.4865,88.3972,-33.0,82.0,5.0,0.85, 03/15/2021
37,Upernavik,GL,72.7868,-56.1549,-6.14,89.0,14.0,11.92, 03/15/2021
38,Sorong,ID,-0.8833,131.25,81.82,76.0,100.0,6.82, 03/15/2021
39,Aviles,ES,43.5547,-5.9248,50.0,87.0,40.0,3.44, 03/15/2021
41,Sotouboua,TG,8.5667,0.9833,86.41,35.0,71.0,2.73, 03/15/2021
42,Mahebourg,MU,-20.4081,57.7,78.8,83.0,20.0,5.75, 03/15/2021
43,Adrar,MR,20.5022,-10.0711,78.19,18.0,0.0,10.13, 03/15/2021
44,Leh,IN,34.1667,77.5833,23.18,74.0,90.0,5.14, 03/15/2021
45,Sidi Ali,DZ,36.0998,0.4206,53.42,63.0,0.0,8.1, 03/15/2021
46,Hirara,JP,24.8,125.2833,70.79,75.0,100.0,10.27, 03/15/2021
48,Taoudenni,ML,22.6783,-3.9836,77.61,18.0,0.0,12.41, 03/15/2021
49,Taksimo,RU,56.3444,114.8794,-8.25,76.0,0.0,0.87, 03/15/2021
51,Kondoa,TZ,-4.9,35.7833,62.44,80.0,30.0,3.67, 03/15/2021
52,Butaritari,KI,3.0707,172.7902,81.3,77.0,84.0,12.8, 03/15/2021
53,Te Anau,NZ,-45.4167,167.7167,46.96,82.0,80.0,4.56, 03/15/2021
54,Thinadhoo,MV,0.5333,72.9333,83.16,71.0,100.0,7.05, 03/15/2021
55,Hilo,US,19.7297,-155.09,80.6,57.0,1.0,3.44, 03/15/2021
56,Hermanus,ZA,-34.4187,19.2345,62.01,95.0,62.0,8.25, 03/15/2021
57,Yellowknife,CA,62.456,-114.3525,1.4,55.0,1.0,4.61, 03/15/2021
58,Ushuaia,AR,-54.8,-68.3,46.4,61.0,75.0,40.29, 03/15/2021
60,New Norfolk,AU,-42.7826,147.0587,48.99,74.0,84.0,1.23, 03/15/2021
61,Busselton,AU,-33.65,115.3333,64.99,53.0,5.0,5.01, 03/15/2021
62,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,84.0,20.0,20.71, 03/15/2021
63,Kahului,US,20.8947,-156.47,75.99,78.0,1.0,3.06, 03/15/2021
64,Tessalit,ML,20.1986,1.0114,78.24,17.0,0.0,10.18, 03/15/2021
65,Palotina,BR,-24.2839,-53.84,86.0,47.0,35.0,5.28, 03/15/2021
66,Brae,GB,60.3964,-1.353,35.6,87.0,40.0,4.61, 03/15/2021
67,Vaini,TO,-21.2,-175.2,78.8,89.0,75.0,6.91, 03/15/2021
68,Tlaltenango,MX,19.1667,-98.3333,78.8,25.0,20.0,9.01, 03/15/2021
69,Namibe,AO,-15.1961,12.1522,76.12,77.0,89.0,0.34, 03/15/2021
70,Bilibino,RU,68.0546,166.4372,-21.32,84.0,8.0,2.21, 03/15/2021
72,Biak,ID,-0.9131,122.8766,77.79,80.0,52.0,1.16, 03/15/2021
73,Jacmel,HT,18.2342,-72.5347,84.2,58.0,20.0,10.36, 03/15/2021
74,Takaungu,KE,-3.6837,39.8566,82.4,74.0,20.0,4.61, 03/15/2021
75,Egvekinot,RU,66.3167,-179.1667,-3.19,94.0,96.0,6.64, 03/15/2021
76,Mount Gambier,AU,-37.8333,140.7667,57.2,88.0,90.0,8.05, 03/15/2021
77,Turbat,PK,26.0023,63.044,68.05,62.0,1.0,1.16, 03/15/2021
80,Madimba,TZ,-10.4,40.3333,78.03,86.0,2.0,4.85, 03/15/2021
81,Tiksi,RU,71.6872,128.8694,-20.7,86.0,90.0,9.31, 03/15/2021
82,Mapastepec,MX,15.4333,-92.9,91.06,43.0,26.0,10.6, 03/15/2021
83,Huercal-Overa,ES,37.389,-1.9454,52.0,71.0,0.0,1.99, 03/15/2021
84,Anadyr,RU,64.75,177.4833,-9.0,84.0,20.0,20.13, 03/15/2021
86,Amapa,BR,1.0,-52.0,79.25,94.0,100.0,3.33, 03/15/2021
88,Cape Town,ZA,-33.9258,18.4232,64.99,77.0,20.0,16.11, 03/15/2021
89,Kumphawapi,TH,17.1087,103.0149,81.0,79.0,56.0,3.38, 03/15/2021
90,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,88.0,40.0,4.61, 03/15/2021
91,Koppal,IN,15.35,76.15,75.49,33.0,0.0,11.07, 03/15/2021
92,Antofagasta,CL,-23.65,-70.4,71.6,60.0,20.0,17.27, 03/15/2021
94,Sorland,NO,67.667,12.6934,37.4,70.0,20.0,9.22, 03/15/2021
95,Port Alfred,ZA,-33.5906,26.891,66.99,95.0,100.0,4.0, 03/15/2021
97,Caxias,PT,38.7031,-9.2767,63.0,55.0,0.0,13.8, 03/15/2021
