,City
0,Labuhan
1,Ondorhaan
2,Neuquen
3,Nikolskoye
4,Faya
5,San Rafael
6,Hithadhoo
7,Avarua
8,Victoria
9,Bluff
10,Tsihombe
11,Keetmanshoop
12,Bubaque
13,Haines Junction
14,Khatanga
15,Luziania
16,Samusu
17,Taolanaro
18,Kapaa
19,Midland
20,Omboue
21,San Juan
22,Coahuayana
23,Porto Walter
24,Punta Arenas
25,Avera
26,Mataura
27,Saskylakh
28,Atuona
29,Urengoy
30,Buraydah
31,Dikson
32,Mar Del Plata
33,Castro
34,Port Hardy
35,Rikitea
36,Talnakh
37,Upernavik
38,Sorong
39,Aviles
40,North Bend
41,Sotouboua
42,Mahebourg
43,Adrar
44,Leh
45,Sidi Ali
46,Hirara
47,Felidhoo
48,Taoudenni
49,Taksimo
50,Amderma
51,Kondoa
52,Butaritari
53,Te Anau
54,Thinadhoo
55,Hilo
56,Hermanus
57,Yellowknife
58,Ushuaia
59,Barentsburg
60,New Norfolk
61,Busselton
62,Tuktoyaktuk
63,Kahului
64,Tessalit
65,Palotina
66,Brae
67,Vaini
68,Tlaltenango
69,Namibe
70,Bilibino
71,Saint-Pierre
72,Biak
73,Jacmel
74,Takaungu
75,Egvekinot
76,Mount Gambier
77,Turbat
78,Saint-Joseph
79,Aflu
80,Madimba
81,Tiksi
82,Mapastepec
83,Huercal-Overa
84,Anadyr
85,Khonuu
86,Amapa
87,Banjar
88,Cape Town
89,Kumphawapi
90,Vila Franca Do Campo
91,Koppal
92,Antofagasta
93,Holme
94,Sorland
95,Port Alfred
96,Ozgon
97,Caxias
98,Attawapiskat
99,Illoqqortoormiut
100,Jinka
101,Matagami
102,Torbay
103,Puerto Madryn
104,Clyde River
105,Kodiak
106,Mahaena
107,Umm Lajj
108,Porbandar
109,Albany
110,Belushya Guba
111,Chapleau
112,Hobart
113,Komsomolskiy
114,East London
115,Chumikan
116,San Cristobal
117,Bambous Virieux
118,Sao Filipe
119,Nabire
120,Rincon
121,Wakkanai
122,Boffa
123,Faanui
124,Kavieng
125,Bengkulu
126,Tateyama
127,Constitucion
128,Minsk
129,Juegang
130,Aklavik
131,Leixlip
132,Tarakan
133,Southwick
134,Saint Albans
135,Florence
136,Lorengau
137,Voh
138,Port Lincoln
139,Camacha
140,Saint-Philippe
141,Jamestown
142,Parker
143,Puro
144,Irinjalakuda
145,Yumen
146,Thompson
147,Puerto Ayora
148,Acapulco
149,Ternate
150,Luderitz
151,Barrow
152,Iqaluit
153,Margate
154,Hualmay
155,Mys Shmidta
156,Beira
157,Klaksvik
158,Pangnirtung
159,Cabo San Lucas
160,Skagastrond
161,Tuatapere
162,Dalen
163,Bacabal
164,Georgetown
165,Beloha
166,Dunedin
167,Ginir
168,Vao
169,Mandali
170,Hatillo
171,Hasaki
172,Grand Gaube
173,Norman Wells
174,Flinders
175,Tura
176,Ballina
177,Chuy
178,Coihaique
179,Garowe
180,Berikulskiy
181,Vostok
182,Kutum
183,Ardesen
184,Provideniya
185,Fethiye
186,Phan Thiet
187,Gurskoye
188,Kruisfontein
189,Tocopilla
190,Bredasdorp
191,Helena
192,Aldan
193,Kavaratti
194,Ayan
195,Mentok
196,Russell
197,Virginia Beach
198,Ponta Do Sol
199,Ribeira Grande
200,Itarema
201,Ascension
202,Digras
203,Nizhneyansk
204,Madison
205,Saldanha
206,Sentyabrskiy
207,Sayhat
208,Khartoum
209,La Rioja
210,Poquoson
211,Sobolevo
212,Lillehammer
213,Yuli
214,Genhe
215,Denpasar
216,Hay River
217,Airai
218,Leningradskiy
219,Carnarvon
220,Shchuchye
221,Alihe
222,Lebu
223,Pevek
224,Dossor
225,Boa Vista
226,Jumla
227,Severo-Kurilsk
228,Tezu
229,Visnes
230,Marsh Harbour
231,Meulaboh
232,Neiafu
233,Ambodifototra
234,Qaanaaq
235,Manacapuru
236,Tabuk
237,Port-Gentil
238,Awbari
239,Natitingou
240,Muisne
241,Chokurdakh
242,Porto Santo
243,Caravelas
244,Calugareni
245,Neryungri
